id,captured_at,category,tag,confidence,active_app,window_title,browser_tab,idle_seconds,ocr_text,screenshot_path,explanation,category_display
10,2026-05-21 11:10:12,productive,general_work,0.55,Chrome,Buckets | Storage | Employee Screen Activity Recording System | neelmistry24's Org | Supabase - Google Chrome,Buckets | Storage | Employee Screen Activity Recording System | neelmistry24's Org | Supabase - Google Chrome,0,,employee_screenshots/productive/screen_20260521_111011.png,No distraction signal found; defaulted to general productive work.,Productive
9,2026-05-21 11:09:40,non_productive,video_streaming,0.88,Chrome,(7) PEDDI Official Trailer - Hindi | Ram Charan | Janhvi Kapoor | AR Rahman | Buchi Babu Sana | T-Series - YouTube - Google Chrome,(7) PEDDI Official Trailer - Hindi | Ram Charan | Janhvi Kapoor | AR Rahman | Buchi Babu Sana | T-Series - YouTube - Google Chrome,0,,employee_screenshots/non_productive/screen_20260521_110938.png,Matched non-productive keyword: youtube.,Non-Productive
8,2026-05-21 11:09:07,non_productive,video_streaming,0.88,Chrome,(7) PEDDI Official Trailer - Hindi | Ram Charan | Janhvi Kapoor | AR Rahman | Buchi Babu Sana | T-Series - YouTube - Google Chrome,(7) PEDDI Official Trailer - Hindi | Ram Charan | Janhvi Kapoor | AR Rahman | Buchi Babu Sana | T-Series - YouTube - Google Chrome,20,,employee_screenshots/non_productive/screen_20260521_110905.png,Matched non-productive keyword: youtube.,Non-Productive
7,2026-05-21 11:08:34,productive,general_work,0.55,Edge,ScreenSense Activity Monitor and 1 more page - Personal - Microsoft​ Edge,ScreenSense Activity Monitor and 1 more page - Personal - Microsoft​ Edge,0,,employee_screenshots/productive/screen_20260521_110833.png,No distraction signal found; defaulted to general productive work.,Productive
6,2026-05-21 11:06:03,productive,general_work,0.55,Edge,ScreenSense Activity Monitor - Personal - Microsoft​ Edge,ScreenSense Activity Monitor - Personal - Microsoft​ Edge,0,,employee_screenshots/productive/screen_20260521_110602.png,No distraction signal found; defaulted to general productive work.,Productive
5,2026-05-21 11:05:31,idle,desktop_or_no_active_work,0.8,Unknown,,,56,,employee_screenshots/idle/screen_20260521_110529.png,No active work application or useful screen text was detected.,Idle
4,2026-05-21 11:04:59,idle,desktop_or_no_active_work,0.8,Unknown,,,16,,employee_screenshots/idle/screen_20260521_110451.png,No active work application or useful screen text was detected.,Idle
3,2026-05-21 11:04:18,productive,general_work,0.55,Edge,ScreenSense Activity Monitor - Personal - Microsoft​ Edge,ScreenSense Activity Monitor - Personal - Microsoft​ Edge,6,,employee_screenshots/productive/screen_20260521_110412.png,No distraction signal found; defaulted to general productive work.,Productive
2,2026-05-21 11:03:41,productive,coding,0.86,Visual Studio Code,config.py - EmployeeScreenActivityProject - Visual Studio Code,,2,,employee_screenshots/productive/screen_20260521_110338.png,Matched productive keyword: visual studio code.,Productive
1,2026-05-21 10:59:28,productive,streamlit,0.86,Edge,app · Streamlit - Personal - Microsoft​ Edge,app · Streamlit - Personal - Microsoft​ Edge,15,,employee_screenshots/productive/screen_20260521_105919.png,Matched productive keyword: streamlit.,Productive
